food_name,portion_g,energy_kcal,protein_g,fat_g,carbs_g,fiber_g,calcium_mg,iron_mg,sodium_mg,defaultUnit,units,unitConversions,nutritionPer100g,category,source_pdf,page,notes
Arroz,100,353,7,0.5,80,NULL,5,1,NULL,100g,"[""100g"", ""gramas""]","{""100g"": 100, ""gramas"": 1}","{""fat"":0.5,""carbs"":80.0,""protein"":7.0,""calories"":353}",Cereais,#1food-moz.pdf,1,Entry 1 from source table
Arroz,100,388,12,7.5,68,NULL,60,5,NULL,100g,"[""100g"", ""gramas""]","{""100g"": 100, ""gramas"": 1}","{""fat"":7.5,""carbs"":68.0,""protein"":12.0,""calories"":388}",Cereais,#1food-moz.pdf,1,Entry 2 from source table
Aveia,100,447,7.4,10.8,80,NULL,26,3.3,NULL,100g,"[""100g"", ""gramas""]","{""100g"": 100, ""gramas"": 1}","{""fat"":10.8,""carbs"":80.0,""protein"":7.4,""calories"":447}",Cereais,#1food-moz.pdf,1,
Bolachas,100,350,8,1.5,76,NULL,25,3.5,NULL,100g,"[""100g"", ""gramas""]","{""100g"": 100, ""gramas"": 1}","{""fat"":1.5,""carbs"":76.0,""protein"":8.0,""calories"":350}",Cereais,#1food-moz.pdf,1,
Centeio,100,338,12,2,68,NULL,35,4,NULL,100g,"[""100g"", ""gramas""]","{""100g"": 100, ""gramas"": 1}","{""fat"":2.0,""carbs"":68.0,""protein"":12.0,""calories"":338}",Cereais,#1food-moz.pdf,1,
Cevada: Grão,100,361,12.5,1.2,75,NULL,27,1.3,NULL,100g,"[""100g"", ""gramas""]","{""100g"": 100, ""gramas"": 1}","{""fat"":1.2,""carbs"":75.0,""protein"":12.5,""calories"":361}",Cereais,#1food-moz.pdf,1,
Esparguete,100,355,10,2.5,73,NULL,20,4,NULL,100g,"[""100g"", ""gramas""]","{""100g"": 100, ""gramas"": 1}","{""fat"":2.5,""carbs"":73.0,""protein"":10.0,""calories"":355}",Cereais,#1food-moz.pdf,1,
Mapira: Farinha,100,356,10.4,3.4,71,NULL,32,4.5,NULL,100g,"[""100g"", ""gramas""]","{""100g"": 100, ""gramas"": 1}","{""fat"":3.4,""carbs"":71.0,""protein"":10.4,""calories"":356}",Cereais,#1food-moz.pdf,1,
Mapira: Grão,100,333,5.5,0.8,76,NULL,370,4,NULL,100g,"[""100g"", ""gramas""]","{""100g"": 100, ""gramas"": 1}","{""fat"":0.8,""carbs"":76.0,""protein"":5.5,""calories"":333}",Cereais,#1food-moz.pdf,1,
Mexoeira: Farinha,100,338,6,1.5,75,NULL,350,5,NULL,100g,"[""100g"", ""gramas""]","{""100g"": 100, ""gramas"": 1}","{""fat"":1.5,""carbs"":75.0,""protein"":6.0,""calories"":338}",Cereais,#1food-moz.pdf,1,
Milho: Amido (Farinha),100,353,0.5,0.3,87,NULL,0,0,NULL,100g,"[""100g"", ""gramas""]","{""100g"": 100, ""gramas"": 1}","{""fat"":0.3,""carbs"":87.0,""protein"":0.5,""calories"":353}",Cereais,#1food-moz.pdf,1,
Milho: Farinha,100,354,8,1.5,77,NULL,9,2,NULL,100g,"[""100g"", ""gramas""]","{""100g"": 100, ""gramas"": 1}","{""fat"":1.5,""carbs"":77.0,""protein"":8.0,""calories"":354}",Cereais,#1food-moz.pdf,1,
Milho: Grão,100,365,10,4.5,71,NULL,12,2.5,NULL,100g,"[""100g"", ""gramas""]","{""100g"": 100, ""gramas"": 1}","{""fat"":4.5,""carbs"":71.0,""protein"":10.0,""calories"":365}",Cereais,#1food-moz.pdf,1,
