food_id,description,moisture_pct,energy_kcal,energy_kj,protein_g,lipids_g,cholesterol_mg,carbohydrate_g,fiber_g,ash_g,calcium_mg,magnesium_mg,manganese_mg,phosphorus_mg,iron_mg,sodium_mg,potassium_mg,copper_mg,zinc_mg,retinol_mcg,re_mcg,rae_mcg,thiamine_mg,riboflavin_mg,pyridoxine_mg,niacin_mg,vitamin_c_mg
A001,Amendoim cru,6.5,567,2373,25.8,49.2,0,16.1,8.5,2.4,92,168,1.934,376,4.58,18,705,1.144,3.27,0,0,0,0.64,0.135,0.348,12.066,0
A002,"Amendoim, torrado",2.0,589,2465,23.7,49.7,0,21.3,9.0,3.3,54,176,1.659,358,2.26,6,658,0.671,3.00,0,0,0,0.11,0.10,0.256,13.525,0
A003,Castanha de caju crua,5.2,553,2314,18.2,43.8,0,30.2,3.3,2.6,37,292,1.655,593,6.68,12,660,2.195,5.78,0,0,0,0.42,0.06,0.417,1.062,0.5
A004,"Castanha de caju, torrada",2.2,581,2431,15.3,47.8,0,32.7,3.0,2.0,43,260,0.826,490,5.00,16,565,2.220,5.35,0,0,0,0.20,0.15,0.256,1.481,0
A005,Gergelim,4.7,573,2397,17.7,49.7,0,23.4,11.8,4.5,975,351,2.460,629,14.55,11,468,4.082,7.75,0,0,0,0.79,0.25,0.790,4.515,0
A006,Manteiga de amendoim,1.8,588,2460,25.1,49.9,0,20.0,6.0,3.2,43,154,1.466,335,1.87,17,558,0.420,2.51,0,0,0,0.11,0.19,0.441,13.110,0
A007,Soja fervida,63.0,173,724,16.6,9.0,0,9.9,6.0,1.5,102,86,0.824,245,5.14,1,515,0.407,1.15,0,0,0,0.16,0.29,0.234,0.399,1.7
A008,Carne de vaca,75.0,119,498,21.3,3.5,55,0,0,1.2,7,24,0.013,211,2.50,72,362,0.086,4.46,0,0,0,0.05,0.18,0.380,5.840,0
A009,"Carne de vaca, gorda",72.0,136,569,20.3,5.4,59,0,0,1.3,8,23,0.013,200,2.38,68,343,0.082,4.24,0,0,0,0.05,0.17,0.361,5.550,0
A010,"Carne de vaca, muito gorda",54.0,269,1126,17.4,21.8,73,0,0,1.8,11,20,0.011,172,2.04,59,295,0.070,3.64,0,0,0,0.04,0.15,0.310,4.760,0
A011,"Carne de vaca, moída",74.0,143,598,19.4,7.4,62,0,0,1.2,9,22,0.012,191,2.27,65,328,0.078,4.05,0,0,0,0.04,0.16,0.345,5.310,0
A012,"Bife, grelhado",59.0,252,1054,27.4,15.5,78,0,0,1.1,6,26,0.012,222,2.93,59,406,0.091,5.24,0,0,0,0.08,0.24,0.441,7.360,0
A013,Figado de vaca frito,56.0,191,799,26.5,6.6,389,5.3,0,1.6,7,20,0.347,497,6.54,110,380,12.040,5.34,9761,30604,30604,0.26,3.42,1.080,17.525,27.4
A014,Lingua de vaca cozida,68.0,224,937,16.4,16.8,91,3.7,0,1.1,6,14,0.017,113,2.87,61,164,0.134,3.47,0,0,0,0.02,0.28,0.130,3.870,3.2
A015,Rins de vaca cozidos,69.0,158,661,27.3,4.7,387,0.9,0,1.1,16,17,0.185,289,7.39,182,262,0.498,2.84,198,663,663,0.42,3.88,0.430,9.040,11.4
A016,"Coração de vaca, cozido",63.0,180,753,28.5,6.4,212,0.1,0,1.0,7,23,0.062,257,5.96,71,178,0.453,2.76,0,0,0,0.21,1.03,0.260,4.050,2.0
A017,Carne de cabrito,75.2,109,456,20.6,2.3,57,0,0,1.9,13,27,0.030,201,3.73,82,385,0.183,4.89,0,0,0,0.15,0.46,0.000,0.000,0
A018,Carne de porco,72.0,147,615,19.8,7.1,60,0,0,1.1,10,26,0.015,221,1.10,58,423,0.073,2.39,2,7,7,0.87,0.22,0.464,5.824,0.7
A019,"Carne de porco, gorda",42.0,407,1703,11.9,40.8,80,0,0,0.5,8,11,0.006,110,0.82,32,150,0.037,1.07,7,23,23,0.40,0.10,0.210,2.640,0.3
A020,"Toucinho, cru",8.0,812,3398,2.9,85.0,95,0.4,0,0.7,11,5,0.005,65,0.62,76,86,0.028,0.64,7,24,24,0.14,0.06,0.050,1.050,0
A021,"Toucinho, frito",18.0,670,2804,8.5,70.0,85,0,0,3.5,11,23,0.009,272,1.44,1310,565,0.138,2.45,0,0,0,0.53,0.22,0.240,5.070,0
A022,Linguiça de porco frita,38.0,339,1418,19.4,28.3,78,0.5,0,3.8,11,18,0.013,155,1.44,1020,248,0.113,2.29,0,0,0,0.43,0.18,0.200,4.230,0.3
A023,Carne de frango,74.0,119,498,21.4,3.1,58,0,0,1.5,15,27,0.020,173,1.26,77,229,0.063,1.54,16,49,49,0.07,0.12,0.470,7.790,1.4
A024,"Fígado de frango, frito",57.0,172,720,24.4,6.9,479,1.0,0,1.7,12,22,0.382,405,11.63,71,230,0.496,4.64,3744,11245,11245,0.18,1.77,0.800,9.390,17.9
A025,"Moela de frango, cozida",68.0,154,644,26.4,4.6,185,0.7,0,1.3,14,19,0.050,158,3.25,66,160,0.289,4.41,19,56,56,0.03,0.21,0.310,3.970,3.5
A026,Galinha inteira,64.0,215,900,18.6,15.8,75,0,0,0.6,11,20,0.017,147,1.20,70,194,0.057,1.47,47,157,157,0.05,0.10,0.400,6.410,1.8
A027,"Galinha inteira, sem pele",69.0,172,720,20.8,9.7,76,0,0,0.5,13,25,0.020,172,1.49,81,229,0.066,1.79,26,76,76,0.06,0.15,0.490,7.760,2.2
A028,"Coxa de frango, sem pele",74.0,119,498,20.1,3.5,81,0,0,1.4,12,25,0.020,179,1.34,86,240,0.066,2.10,12,36,36,0.09,0.23,0.330,5.370,0
A029,"Sobrecoxa de frango, sem pele",74.0,119,498,19.6,3.8,84,0,0,1.6,11,23,0.018,165,1.33,87,222,0.070,2.45,21,64,64,0.08,0.21,0.310,5.13,0
A030,"Peito de frango, sem pele",75.0,110,460,23.1,1.2,58,0,0,1.7,15,29,0.020,228,1.04,63,256,0.051,0.90,8,21,21,0.07,0.10,0.600,11.680,1.3
A031,Pato inteiro,44.0,337,1410,11.5,32.9,77,0,0,0.6,11,16,0.015,123,2.70,59,204,0.227,1.58,53,180,180,0.13,0.22,0.220,3.520,0
A032,Ganso inteiro,48.0,305,1276,16.4,25.2,80,0,0,1.4,14,22,0.017,311,2.87,70,420,0.264,2.45,21,69,69,0.10,0.33,0.410,4.100,0
A033,Peru inteiro,70.0,135,565,21.9,4.3,60,0,0,1.8,18,27,0.017,198,1.43,64,288,0.065,2.02,0,0,0,0.05,0.13,0.460,5.790,0
A034,Codorniz inteira,69.0,162,678,19.6,6.8,70,0,0,3.6,13,22,0.018,307,4.43,51,237,0.598,2.70,44,150,150,0.24,0.26,0.520,7.200,6.8
A035,Pombo bravo inteiro,72.0,142,594,17.5,7.5,0,0,0,1.0,46,36,0.019,230,5.50,51,319,0.480,3.00,0,0,0,0.30,0.30,0.600,6.800,10.0
A036,Ovo de galinha inteiro cru,76.0,143,598,12.6,9.5,372,0.7,0,1.2,56,12,0.028,198,1.75,142,138,0.072,1.29,160,520,160,0.04,0.46,0.120,0.070,0
A037,"Ovo de galinha, clara crua",88.0,48,201,10.9,0.2,0,0.7,0,0.2,7,11,0.004,15,0.08,166,163,0.023,0.03,0,0,0,0.00,0.44,0.000,0.100,0
A038,"Ovo de galinha, gema crua",51.0,322,1347,15.9,26.5,1085,3.6,0,3.0,147,15,0.055,569,5.87,48,109,0.077,3.11,381,1442,381,0.18,0.52,0.350,0.030,0
A039,"Ovo de galinha, cozido",75.0,155,649,12.6,10.6,373,1.1,0,0.7,50,10,0.026,172,1.19,124,126,0.013,1.05,140,460,140,0.07,0.51,0.121,0.036,0
A040,"Ovo de galinha, frito",69.0,196,820,13.6,14.8,457,0.8,0,1.8,62,13,0.034,201,2.00,207,152,0.080,1.43,162,581,162,0.04,0.49,0.143,0.070,0
A041,Ovo de pata cru,70.0,185,774,12.8,13.8,884,1.5,0,1.9,64,17,0.030,220,3.85,146,222,0.062,1.41,194,674,194,0.16,0.40,0.250,0.200,0
A042,Bacalhau seco cru,48.0,290,1213,62.8,2.4,152,0,0,21.8,136,109,0.040,890,2.50,7027,1458,0.350,1.70,30,99,99,0.18,0.16,0.300,5.800,0
A043,Camarão de água doce cru,76.0,106,443,20.3,1.7,152,0.9,0,1.1,70,37,0.120,205,1.77,148,220,0.264,1.34,0,0,0,0.03,0.04,0.028,3.627,2.4
A044,"Camarão de água doce, cozido",73.0,119,498,22.8,2.0,170,1.0,0,1.2,78,42,0.135,230,1.99,166,247,0.296,1.50,0,0,0,0.03,0.04,0.031,4.067,2.7
A045,Camarão do mar cru,78.0,85,356,18.1,0.9,125,0,0,2.0,80,39,0.047,182,1.59,566,145,0.435,1.21,0,0,0,0.02,0.02,0.047,2.852,0
