id,name,portion_g,energy_kcal,protein_g,fat_g,carbs_g,fiber_g,calcium_mg,iron_mg,sodium_mg,defaultUnit,units,unitConversions,nutritionPer100g,category,source_pdf,page,notes
arroz_integral_cozido,"Arroz, integral, cozido",100,124.0,2.6,1.0,25.8,2.7,5.0,0.3,1.0,100g,"[""100g"", ""gramas"", ""g"", ""xícara"", ""xícara de chá"", ""colher de sopa"", ""colher de chá"", ""prato fundo"", ""prato raso"", ""concha"", ""kg""]","{""100g"": 100, ""gramas"": 1, ""g"": 1, ""xícara"": 200, ""xícara de chá"": 200, ""colher de sopa"": 15, ""colher de chá"": 5, ""prato fundo"": 300, ""prato raso"": 150, ""concha"": 120, ""kg"": 1000}","{""calories"": 124.0, ""energy_kj"": 517.0, ""protein"": 2.6, ""fat"": 1.0, ""carbs"": 25.8, ""fiber"": 2.7, ""moisture"": 70.1, ""ash"": 0.5, ""calcium"": 5.0, ""magnesium"": 59.0, ""manganese"": 0.63, ""phosphorus"": 106.0, ""iron"": 0.3, ""sodium"": 1.0, ""potassium"": 75.0, ""copper"": 0.02, ""zinc"": 0.7, ""thiamine"": 0.08, ""pyridoxine"": 0.08}",Cereais,#1food-moz.pdf,1,Entry 1 from source table
arroz_integral_cru,"Arroz, integral, cru",100,360.0,7.3,1.9,77.5,4.8,8.0,0.9,2.0,100g,"[""100g"", ""gramas"", ""g"", ""xícara"", ""xícara de chá"", ""colher de sopa"", ""colher de chá"", ""prato fundo"", ""prato raso"", ""concha"", ""kg""]","{""100g"": 100, ""gramas"": 1, ""g"": 1, ""xícara"": 200, ""xícara de chá"": 200, ""colher de sopa"": 15, ""colher de chá"": 5, ""prato fundo"": 300, ""prato raso"": 150, ""concha"": 120, ""kg"": 1000}","{""calories"": 360.0, ""energy_kj"": 1505.0, ""protein"": 7.3, ""fat"": 1.9, ""carbs"": 77.5, ""fiber"": 4.8, ""moisture"": 12.2, ""ash"": 1.2, ""calcium"": 8.0, ""magnesium"": 110.0, ""manganese"": 2.99, ""phosphorus"": 251.0, ""iron"": 0.9, ""sodium"": 2.0, ""potassium"": 173.0, ""copper"": 0.07, ""zinc"": 1.4, ""thiamine"": 0.26, ""pyridoxine"": 0.18, ""niacin"": 4.18}",Cereais,#1food-moz.pdf,1,Entry 2 from source table
arroz_tipo_1_cozido,"Arroz, tipo 1, cozido",100,128.0,2.5,0.2,28.1,1.6,4.0,0.1,1.0,100g,"[""100g"", ""gramas"", ""g"", ""xícara"", ""xícara de chá"", ""colher de sopa"", ""colher de chá"", ""prato fundo"", ""prato raso"", ""concha"", ""kg""]","{""100g"": 100, ""gramas"": 1, ""g"": 1, ""xícara"": 200, ""xícara de chá"": 200, ""colher de sopa"": 15, ""colher de chá"": 5, ""prato fundo"": 300, ""prato raso"": 150, ""concha"": 120, ""kg"": 1000}","{""calories"": 128.0, ""energy_kj"": 537.0, ""protein"": 2.5, ""fat"": 0.2, ""carbs"": 28.1, ""fiber"": 1.6, ""moisture"": 69.1, ""ash"": 0.1, ""calcium"": 4.0, ""magnesium"": 2.0, ""manganese"": 0.3, ""phosphorus"": 18.0, ""iron"": 0.1, ""sodium"": 1.0, ""potassium"": 15.0, ""copper"": 0.02, ""zinc"": 0.5}",Cereais,#1food-moz.pdf,1,Entry 3 from source table
arroz_tipo_1_cru,"Arroz, tipo 1, cru",100,358.0,7.2,0.3,78.8,1.6,4.0,0.7,1.0,100g,"[""100g"", ""gramas"", ""g"", ""xícara"", ""xícara de chá"", ""colher de sopa"", ""colher de chá"", ""prato fundo"", ""prato raso"", ""concha"", ""kg""]","{""100g"": 100, ""gramas"": 1, ""g"": 1, ""xícara"": 200, ""xícara de chá"": 200, ""colher de sopa"": 15, ""colher de chá"": 5, ""prato fundo"": 300, ""prato raso"": 150, ""concha"": 120, ""kg"": 1000}","{""calories"": 358.0, ""energy_kj"": 1497.0, ""protein"": 7.2, ""fat"": 0.3, ""carbs"": 78.8, ""fiber"": 1.6, ""moisture"": 13.2, ""ash"": 0.5, ""calcium"": 4.0, ""magnesium"": 30.0, ""manganese"": 1.03, ""phosphorus"": 104.0, ""iron"": 0.7, ""sodium"": 1.0, ""potassium"": 62.0, ""copper"": 0.11, ""zinc"": 1.2, ""thiamine"": 0.16, ""pyridoxine"": 0.07, ""niacin"": 1.12}",Cereais,#1food-moz.pdf,1,Entry 4 from source table
arroz_tipo_2_cozido,"Arroz, tipo 2, cozido",100,130.0,2.6,0.4,28.2,1.1,3.0,0.1,2.0,100g,"[""100g"", ""gramas"", ""g"", ""xícara"", ""xícara de chá"", ""colher de sopa"", ""colher de chá"", ""prato fundo"", ""prato raso"", ""concha"", ""kg""]","{""100g"": 100, ""gramas"": 1, ""g"": 1, ""xícara"": 200, ""xícara de chá"": 200, ""colher de sopa"": 15, ""colher de chá"": 5, ""prato fundo"": 300, ""prato raso"": 150, ""concha"": 120, ""kg"": 1000}","{""calories"": 130.0, ""energy_kj"": 544.0, ""protein"": 2.6, ""fat"": 0.4, ""carbs"": 28.2, ""fiber"": 1.1, ""moisture"": 68.7, ""ash"": 0.1, ""calcium"": 3.0, ""magnesium"": 6.0, ""manganese"": 0.37, ""phosphorus"": 22.0, ""iron"": 0.1, ""sodium"": 2.0, ""potassium"": 20.0, ""copper"": 0.04, ""zinc"": 0.5}",Cereais,#1food-moz.pdf,1,Entry 5 from source table
arroz_tipo_2_cru,"Arroz, tipo 2, cru",100,358.0,7.2,0.3,78.9,1.7,5.0,0.6,1.0,100g,"[""100g"", ""gramas"", ""g"", ""xícara"", ""xícara de chá"", ""colher de sopa"", ""colher de chá"", ""prato fundo"", ""prato raso"", ""concha"", ""kg""]","{""100g"": 100, ""gramas"": 1, ""g"": 1, ""xícara"": 200, ""xícara de chá"": 200, ""colher de sopa"": 15, ""colher de chá"": 5, ""prato fundo"": 300, ""prato raso"": 150, ""concha"": 120, ""kg"": 1000}","{""calories"": 358.0, ""energy_kj"": 1498.0, ""protein"": 7.2, ""fat"": 0.3, ""carbs"": 78.9, ""fiber"": 1.7, ""moisture"": 13.2, ""ash"": 0.4, ""calcium"": 5.0, ""magnesium"": 29.0, ""manganese"": 0.83, ""phosphorus"": 82.0, ""iron"": 0.6, ""sodium"": 1.0, ""potassium"": 57.0, ""copper"": 0.05, ""zinc"": 1.3, ""thiamine"": 0.16, ""pyridoxine"": 0.05, ""niacin"": 0.92}",Cereais,#1food-moz.pdf,1,Entry 6 from source table
aveia_flocos_crua,"Aveia, flocos, crua",100,394.0,13.9,8.5,66.6,9.1,48.0,4.4,5.0,100g,"[""100g"", ""gramas"", ""g"", ""xícara"", ""xícara de chá"", ""colher de sopa"", ""colher de chá"", ""kg""]","{""100g"": 100, ""gramas"": 1, ""g"": 1, ""xícara"": 200, ""xícara de chá"": 200, ""colher de sopa"": 15, ""colher de chá"": 5, ""kg"": 1000}","{""calories"": 394.0, ""energy_kj"": 1648.0, ""protein"": 13.9, ""fat"": 8.5, ""carbs"": 66.6, ""fiber"": 9.1, ""moisture"": 9.1, ""ash"": 1.8, ""calcium"": 48.0, ""magnesium"": 119.0, ""manganese"": 1.89, ""phosphorus"": 153.0, ""iron"": 4.4, ""sodium"": 5.0, ""potassium"": 336.0, ""copper"": 0.44, ""zinc"": 2.6, ""thiamine"": 0.55, ""riboflavin"": 0.03, ""niacin"": 4.47, ""vitamin_c"": 1.4}",Cereais,#1food-moz.pdf,1,Entry 7 from source table
biscoito_doce_maisena,"Biscoito, doce, maisena",100,443.0,8.1,12.0,75.2,2.1,54.0,1.8,352.0,100g,"[""100g"", ""gramas"", ""g"", ""colher de sopa"", ""colher de chá"", ""xícara"", ""kg""]","{""100g"": 100, ""gramas"": 1, ""g"": 1, ""colher de sopa"": 12, ""colher de chá"": 4, ""xícara"": 180, ""kg"": 1000}","{""calories"": 443.0, ""energy_kj"": 1853.0, ""protein"": 8.1, ""fat"": 12.0, ""carbs"": 75.2, ""fiber"": 2.1, ""moisture"": 3.2, ""ash"": 1.5, ""calcium"": 54.0, ""magnesium"": 37.0, ""manganese"": 0.78, ""phosphorus"": 166.0, ""iron"": 1.8, ""sodium"": 352.0, ""potassium"": 142.0, ""copper"": 0.17, ""zinc"": 1.0, ""thiamine"": 1.01, ""riboflavin"": 0.42, ""pyridoxine"": 0.23, ""niacin"": 3.91, ""vitamin_c"": 6.2}",Açúcares,#1food-moz.pdf,1,Entry 8 from source table
biscoito_doce_recheado_com_chocolate,"Biscoito, doce, recheado com chocolate",100,472.0,6.4,19.6,70.5,3.0,27.0,2.3,239.0,100g,"[""100g"", ""gramas"", ""g"", ""colher de sopa"", ""colher de chá"", ""xícara"", ""kg""]","{""100g"": 100, ""gramas"": 1, ""g"": 1, ""colher de sopa"": 12, ""colher de chá"": 4, ""xícara"": 180, ""kg"": 1000}","{""calories"": 472.0, ""energy_kj"": 1974.0, ""protein"": 6.4, ""fat"": 19.6, ""carbs"": 70.5, ""fiber"": 3.0, ""moisture"": 2.2, ""ash"": 1.3, ""calcium"": 27.0, ""magnesium"": 48.0, ""manganese"": 0.59, ""phosphorus"": 139.0, ""iron"": 2.3, ""sodium"": 239.0, ""potassium"": 232.0, ""copper"": 0.27, ""zinc"": 1.0, ""thiamine"": 0.32, ""riboflavin"": 0.39, ""pyridoxine"": 0.46, ""niacin"": 2.52, ""vitamin_c"": 3.5}",Açúcares,#1food-moz.pdf,1,Entry 9 from source table
biscoito_doce_recheado_com_morango,"Biscoito, doce, recheado com morango",100,471.0,5.7,19.6,71.0,1.5,36.0,1.5,230.0,100g,"[""100g"", ""gramas"", ""g"", ""unidade"", ""unidade pequena"", ""unidade média"", ""unidade grande"", ""fatia"", ""rodela"", ""xícara"", ""colher de sopa"", ""kg""]","{""100g"": 100, ""gramas"": 1, ""g"": 1, ""unidade"": 150, ""unidade pequena"": 100, ""unidade média"": 150, ""unidade grande"": 200, ""fatia"": 50, ""rodela"": 30, ""xícara"": 120, ""colher de sopa"": 15, ""kg"": 1000}","{""calories"": 471.0, ""energy_kj"": 1971.0, ""protein"": 5.7, ""fat"": 19.6, ""carbs"": 71.0, ""fiber"": 1.5, ""moisture"": 2.7, ""ash"": 1.0, ""calcium"": 36.0, ""magnesium"": 27.0, ""manganese"": 0.66, ""phosphorus"": 138.0, ""iron"": 1.5, ""sodium"": 230.0, ""potassium"": 113.0, ""copper"": 0.13, ""zinc"": 0.7, ""thiamine"": 0.9, ""riboflavin"": 0.42, ""pyridoxine"": 0.21, ""niacin"": 1.5}",Frutas,#1food-moz.pdf,1,Entry 10 from source table
biscoito_doce_wafer_recheado_de_chocolate,"Biscoito, doce, wafer, recheado de chocolate",100,502.0,5.6,24.7,67.5,1.8,23.0,2.4,137.0,100g,"[""100g"", ""gramas"", ""g"", ""colher de sopa"", ""colher de chá"", ""xícara"", ""kg""]","{""100g"": 100, ""gramas"": 1, ""g"": 1, ""colher de sopa"": 12, ""colher de chá"": 4, ""xícara"": 180, ""kg"": 1000}","{""calories"": 502.0, ""energy_kj"": 2102.0, ""protein"": 5.6, ""fat"": 24.7, ""carbs"": 67.5, ""fiber"": 1.8, ""moisture"": 1.2, ""ash"": 1.1, ""calcium"": 23.0, ""magnesium"": 48.0, ""manganese"": 0.44, ""phosphorus"": 124.0, ""iron"": 2.4, ""sodium"": 137.0, ""potassium"": 240.0, ""copper"": 0.26, ""zinc"": 0.9, ""thiamine"": 0.37, ""riboflavin"": 0.03, ""pyridoxine"": 0.3, ""niacin"": 1.12}",Açúcares,#1food-moz.pdf,1,Entry 11 from source table
